File name:,NGADG0017.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact:,"Jianqiu Zheng (zhengj@ornl.gov), David Graham (grahamde@ornl.gov)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Modified:,2018-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modified By:,Jianqiu Zheng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGEE Arctic Dataset DOI:,https://doi.org/10.5440/1440029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cite Dataset As:,"Jianqiu Zheng, Taniya RoyChowdhury, Elizabeth Herndon, Ziming Yang, Baohua Gu, Stan Wullschleger, David Graham. 2018. Synthesis of Soil Geochemical Characteristics and Organic Carbon Degradation from Arctic Polygon Tundra, Barrow, Alaska. Next Generation Ecosystem Experiments Arctic Data Collection, Oak Ridge National Laboratory, U.S. Department of Energy, Oak Ridge, Tennessee, USA. Dataset accessed on [insert_date] at https://doi.org/10.5440/1440029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,8,7,8.49,-9999,-9999,8.08,-9999,-9999,7.36,-9999,-9999,0.327,-9999,-9999,0.205,-9999,-9999,0.271,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,8,9,10.7,-9999,-9999,8.6,-9999,-9999,9.84,-9999,-9999,0.334,-9999,-9999,0.229,-9999,-9999,0.28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,8,11,11.1,-9999,-9999,10.7,-9999,-9999,10.1,-9999,-9999,0.346,-9999,-9999,0.257,-9999,-9999,0.303,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,8,13,11.2,-9999,-9999,11.7,-9999,-9999,10.3,-9999,-9999,0.388,-9999,-9999,0.268,-9999,-9999,0.329,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21.4,4.83
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,8,21,13.3,-9999,-9999,13.9,-9999,-9999,11.9,-9999,-9999,0.691,-9999,-9999,0.265,-9999,-9999,0.608,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,8,26,14,-9999,-9999,15.1,-9999,-9999,13.1,-9999,-9999,0.84,-9999,-9999,0.417,-9999,-9999,0.813,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,8,31,15.1,-9999,-9999,16.1,-9999,-9999,13.9,-9999,-9999,1.18,-9999,-9999,0.569,-9999,-9999,1.15,-9999,-9999,1,9,0.2,3.33,0.63,0,69.9,5.67
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,8,35,15.5,-9999,-9999,16.5,-9999,-9999,14.1,-9999,-9999,1.38,-9999,-9999,0.724,-9999,-9999,1.38,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,8,42,16.8,-9999,-9999,18.5,-9999,-9999,15.8,-9999,-9999,1.73,-9999,-9999,1.04,-9999,-9999,1.76,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,8,49,21,-9999,-9999,22.7,-9999,-9999,19.7,-9999,-9999,2.59,-9999,-9999,1.51,-9999,-9999,2.55,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,8,56,19.6,-9999,-9999,21.2,-9999,-9999,18.6,-9999,-9999,2.29,-9999,-9999,1.42,-9999,-9999,2.31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0017,Mineral,LCP,Center,22,54,0.64,14.65,23,Anoxic,8,62,24.9,-9999,-9999,24.8,-9999,-9999,24.2,-9999,-9999,3.14,-9999,-9999,3.9,-9999,-9999,3.26,-9999,-9999,187,0,0.03,0.06,0.1,0,185.9,4.9
