"Year","Sample","Temp_range","Temp_flag","moisture","moisture_units","moisture_flag","R10","Q10","Q10_flag","Species","Latitude","Longitude","lat_lon_notes","Manipulation","Ecosystem_type_old","Ecosystem_type","Biome","Source","Incubation","Duplicate_record","notes","notes2","notes_data_location","StudyName","DOI","Meas_method","Horizon","Depth_cm","Vegetation","notes3","MAT_C","MMT_C","MAP_mm","...35","Texture","...37","time_days","Elevation_m","...40","...41","corg","norg","clay","ph"
,"70","10_20",,,,,,2.34,"equal-time","CO2","55.9797_N","12.3471_E","Nødebo, Denmark","None","forest","forest","temperate","Hamdi2013","lab",,,"reference 17","SI","Elberling and Brandt 2003","https://doi.org/10.1016/j.foreco.2011.10.009",,,"0 to 20",,"Node",,,,,,,,,,,,,,
,"71","-10_0",,,,,,22.3,"equal-time","CO2","74_28'N","20_34'W",,"None","tundra","tundra","cold","Hamdi2013","lab",,,"reference 17","SI","Elberling and Brandt 2003","https://doi.org/10.1016/j.foreco.2011.10.009",,,"0 to 20",,"Zack",,,,,,,,,,,"6.5","0.4",,
,"71","0_10",,,,,,2.56,"equal-time","CO2","74_28'N","20_34'W",,"None","tundra","tundra","cold","Hamdi2013","lab",,,"reference 17","SI","Elberling and Brandt 2003","https://doi.org/10.1016/j.foreco.2011.10.009",,,"0 to 20",,"Zack",,,,,,,,,,,"6.5","0.4",,
,"71","10_20",,,,,,1.96,"equal-time","CO2","74_28'N","20_34'W",,"None","tundra","tundra","cold","Hamdi2013","lab",,,"reference 17","SI","Elberling and Brandt 2003","https://doi.org/10.1016/j.foreco.2011.10.009",,,"0 to 20",,"Zack",,,,,,,,,,,"6.5","0.4",,
,"72","-1_5",,,,,,344,"equal-time","CO2","78_01'S","163_53'E","Garwood Valley, Antarctica","None","polar desert","Desert","cold","Hamdi2013","lab",,,"reference 18","SI","Elberling et al. 2006","https://doi.org/10.1016/j.soilbio.2005.12.011",,,"0 to 8",,"Polygon",,,,,,,,,,,"0.116",,,
,"72","5_10",,,,,,3.8,"equal-time","CO2","78_01'S","163_53'E",,"None","polar desert","Desert","cold","Hamdi2013","lab",,,"reference 18","SI","Elberling et al. 2006","https://doi.org/10.1016/j.soilbio.2005.12.011",,,"0 to 8",,"Polygon",,,,,,,,,,,"0.116",,,
,"73","5_15",,,,,,2.4,"sequential","CO2","55.9445_N","3.1892_W","University of Edinburgh","None","cultivated","cultivated","temperate","Hamdi2013","lab",,,"reference 19","SI","Fang and Moncrieff 2001","https://doi.org/10.1016/S0038-0717(00)00125-5",,,,,"Fang-cult",,,,,,,,,,,,,,
,"73","25_35",,,,,,2.2,"sequential","CO2","55.9445_N","3.1892_W",,"None","cultivated","cultivated","temperate","Hamdi2013","lab",,,"reference 19","SI","Fang and Moncrieff 2001","https://doi.org/10.1016/S0038-0717(00)00125-5",,,,,"Fang-cult",,,,,,,,,,,,,,
,"74","5_15",,,,,,3.4,"sequential","CO2","55.9445_N","3.1892_W","Bush Estate (Edinburgh, Scotland)","None","forest","forest","temperate","Hamdi2013","lab",,,"reference 19","SI","Fang and Moncrieff 2001","https://doi.org/10.1016/S0038-0717(00)00125-5",,,,,"Fang-forest",,,,,,,,,,,,,,
,"74","25_35",,,,,,2.9,"sequential","CO2","55.9445_N","3.1892_W","Bush Estate (Edinburgh, Scotland)","None","forest","forest","temperate","Hamdi2013","lab",,,"reference 19","SI","Fang and Moncrieff 2001","https://doi.org/10.1016/S0038-0717(00)00125-5",,,,,"Fang-forest",,,,,,,,,,,,,,
,"75","4_44",,,,,,2.16,"sequential","CO2","56_37'N","3_48'W",,"None","forest","forest","temperate","Hamdi2013","lab",,,"reference 20","SI","Fang et al. 2005","https://doi.org/10.1038/nature03138",,,,,"Fang-2005",,,,,,,,,,,,,,
,"76","10_35",,,,,,2.8,"equal-time","CO2","34_42'N","120_03'W",,"None","grassland","grassland","warm","Hamdi2013","lab",,,"reference 21","SI","Fierer et al. 2003","https://doi.org/10.1046/j.1365-2486.2003.00663.x",,,,,"Fierer_0ñ5",,,,,,,,,,,"3.2",,,
,"77","10_35",,,,,,3.8,"equal-time","CO2","34_42'N","120_03'W",,"None","grassland","grassland","warm","Hamdi2013","lab",,,"reference 21","SI","Fierer et al. 2003","https://doi.org/10.1046/j.1365-2486.2003.00663.x",,,,,"Fierer_100",,,,,,,,,,,"0.84",,,
,"78","10_35",,,,,,3.2,"equal-time","CO2","34_42'N","120_03'W",,"None","grassland","grassland","warm","Hamdi2013","lab",,,"reference 21","SI","Fierer et al. 2003","https://doi.org/10.1046/j.1365-2486.2003.00663.x",,,,,"Fierer_15ñ25",,,,,,,,,,,"1.7",,,
,"79","10_35",,,,,,4.1,"equal-time","CO2","34_42'N","120_03'W",,"None","grassland","grassland","warm","Hamdi2013","lab",,,"reference 21","SI","Fierer et al. 2003","https://doi.org/10.1046/j.1365-2486.2003.00663.x",,,,,"Fierer_200",,,,,,,,,,,"0.16",,,
,"80","10_35",,,,,,3.7,"equal-time","CO2","34_42'N","120_03'W",,"None","grassland","grassland","warm","Hamdi2013","lab",,,"reference 21","SI","Fierer et al. 2003","https://doi.org/10.1046/j.1365-2486.2003.00663.x",,,,,"Fierer_50",,,,,,,,,,,"0.83",,,
,"81","10_35",,,,,,3,"equal-time","CO2","34_42'N","120_03'W",,"None","grassland","grassland","warm","Hamdi2013","lab",,,"reference 21","SI","Fierer et al. 2003","https://doi.org/10.1046/j.1365-2486.2003.00663.x",,,,,"Fierer_5ñ15",,,,,,,,,,,"2",,,
,"82","10_30",,,,,,2.7,"equal-time","CO2","NA",,,"None","tundra","tundra","cold","Hamdi2013","lab","duplicate",,"reference 22","SI","Fierer et al. 2006","https://doi.org/10.1029/2005GB002644",,,,,"Fierer-Boreal",,,,,,,,,,,,,,
,"83","10_30",,,,,,2.8,"equal-time","CO2","NA",,,"None","forest","forest","warm","Hamdi2013","lab","duplicate",,"reference 22","SI","Fierer et al. 2006","https://doi.org/10.1029/2005GB002644",,,,,"Fierer-DryFor",,,,,,,,,,,,,,
,"84","10_30",,,,,,2.9,"equal-time","CO2","NA",,,"None","grassland","grassland","warm","Hamdi2013","lab","duplicate",,"reference 22","SI","Fierer et al. 2006","https://doi.org/10.1029/2005GB002644",,,,,"Fierer-DryGrass",,,,,,,,,,,,,,
,"85","10_30",,,,,,2.9,"equal-time","CO2","NA",,,"None","forest","forest","temperate","Hamdi2013","lab","duplicate",,"reference 22","SI","Fierer et al. 2006","https://doi.org/10.1029/2005GB002644",,,,,"Fierer-TempFor",,,,,,,,,,,,,,
,"86","10_30",,,,,,3.1,"equal-time","CO2","NA",,,"None","grassland","grassland","temperate","Hamdi2013","lab","duplicate",,"reference 22","SI","Fierer et al. 2006","https://doi.org/10.1029/2005GB002644",,,,,"Fierer-TempGrass",,,,,,,,,,,,,,
,"87","10_30",,,,,,3.3,"equal-time","CO2","NA",,,"None","grassland","grassland","warm","Hamdi2013","lab","duplicate",,"reference 22","SI","Fierer et al. 2006","https://doi.org/10.1029/2005GB002644",,,,,"Fierer-TropFor",,,,,,,,,,,,,,
,"88","10_30",,,,,,1.95,"equal-time","CO2","NA",,"26 sites located in six bioclimatic regions spanning a 22 _C MAT gradient in North America","None","forest","forest",,"Hamdi2013","lab",,,"reference 23","SI","Fissore et al. 2009","https://doi.org/10.1111/j.1365-2486.2009.01903.x",,,"0 to 20",,"Various",,,,,,,,,,,,,,
,"88","10_30",,,,,,1.44,"equal-C","CO2","NA",,"26 sites located in six bioclimatic regions spanning a 22 _C MAT gradient in North America","None","forest","forest",,"Hamdi2013","lab",,,"reference 23","SI","Fissore et al. 2009","https://doi.org/10.1111/j.1365-2486.2009.01903.x",,,"0 to 20",,"Various",,,,,,,,,,,,,,
,"89","0_10",,,,,,4.65,"equal-time","CO2","36.9881_N","122.0582_W","University of California in Santa Cruz","substrate","cultivated","cultivated","temperate","Hamdi2013","lab",,,"reference 24","SI","Gershenson et al. 2009","https://doi.org/10.1111/j.1365-2486.2008.01827.x",,,,,"Gersh-Farm",,,,,,,,,,,,,,
,"89","0_10",,,,,,6.27,"equal-time","CO2","36.9881_N","122.0582_W",,"None","cultivated","cultivated","temperate","Hamdi2013","lab",,,"reference 24","SI","Gershenson et al. 2009","https://doi.org/10.1111/j.1365-2486.2008.01827.x",,,,,"Gersh-Farm",,,,,,,,,,,,,,
,"89","10_22",,,,,,2.47,"equal-time","CO2","36.9881_N","122.0582_W",,"substrate","cultivated","cultivated","temperate","Hamdi2013","lab",,,"reference 24","SI","Gershenson et al. 2009","https://doi.org/10.1111/j.1365-2486.2008.01827.x",,,,,"Gersh-Farm",,,,,,,,,,,,,,
,"89","10_22",,,,,,1.83,"equal-time","CO2","36.9881_N","122.0582_W",,"None","cultivated","cultivated","temperate","Hamdi2013","lab",,,"reference 24","SI","Gershenson et al. 2009","https://doi.org/10.1111/j.1365-2486.2008.01827.x",,,,,"Gersh-Farm",,,,,,,,,,,,,,
,"89","22_30",,,,,,1.78,"equal-time","CO2","36.9881_N","122.0582_W",,"substrate","cultivated","cultivated","temperate","Hamdi2013","lab",,,"reference 24","SI","Gershenson et al. 2009","https://doi.org/10.1111/j.1365-2486.2008.01827.x",,,,,"Gersh-Farm",,,,,,,,,,,,,,
,"89","22_30",,,,,,1.69,"equal-time","CO2","36.9881_N","122.0582_W",,"None","cultivated","cultivated","temperate","Hamdi2013","lab",,,"reference 24","SI","Gershenson et al. 2009","https://doi.org/10.1111/j.1365-2486.2008.01827.x",,,,,"Gersh-Farm",,,,,,,,,,,,,,
,"90","0_10",,,,,,3.99,"equal-time","CO2","36.9881_N","122.0582_W",,"substrate","grassland","grassland","temperate","Hamdi2013","lab",,,"reference 24","SI","Gershenson et al. 2009","https://doi.org/10.1111/j.1365-2486.2008.01827.x",,,,,"Gersh-Ga",,,,,,,,,,,,,,
,"90","0_10",,,,,,2.9,"equal-time","CO2","36.9881_N","122.0582_W",,"None","grassland","grassland","temperate","Hamdi2013","lab",,,"reference 24","SI","Gershenson et al. 2009","https://doi.org/10.1111/j.1365-2486.2008.01827.x",,,,,"Gersh-Ga",,,,,,,,,,,,,,
,"90","10_22",,,,,,2.6,"equal-time","CO2","36.9881_N","122.0582_W",,"substrate","grassland","grassland","temperate","Hamdi2013","lab",,,"reference 24","SI","Gershenson et al. 2009","https://doi.org/10.1111/j.1365-2486.2008.01827.x",,,,,"Gersh-Ga",,,,,,,,,,,,,,
,"90","10_22",,,,,,2.49,"equal-time","CO2","36.9881_N","122.0582_W",,"None","grassland","grassland","temperate","Hamdi2013","lab",,,"reference 24","SI","Gershenson et al. 2009","https://doi.org/10.1111/j.1365-2486.2008.01827.x",,,,,"Gersh-Ga",,,,,,,,,,,,,,
,"90","22_30",,,,,,1.61,"equal-time","CO2","36.9881_N","122.0582_W",,"substrate","grassland","grassland","temperate","Hamdi2013","lab",,,"reference 24","SI","Gershenson et al. 2009","https://doi.org/10.1111/j.1365-2486.2008.01827.x",,,,,"Gersh-Ga",,,,,,,,,,,,,,
,"90","22_30",,,,,,1.4,"equal-time","CO2","36.9881_N","122.0582_W",,"None","grassland","grassland","temperate","Hamdi2013","lab",,,"reference 24","SI","Gershenson et al. 2009","https://doi.org/10.1111/j.1365-2486.2008.01827.x",,,,,"Gersh-Ga",,,,,,,,,,,,,,
,"91","0_10",,,,,,4.46,"equal-time","CO2","36.9881_N","122.0582_W",,"substrate","forest","forest","temperate","Hamdi2013","lab",,,"reference 24","SI","Gershenson et al. 2009","https://doi.org/10.1111/j.1365-2486.2008.01827.x",,,,,"Gersh-RW",,,,,,,,,,,,,,
,"91","0_10",,,,,,3.39,"equal-time","CO2","36.9881_N","122.0582_W",,"None","forest","forest","temperate","Hamdi2013","lab",,,"reference 24","SI","Gershenson et al. 2009","https://doi.org/10.1111/j.1365-2486.2008.01827.x",,,,,"Gersh-RW",,,,,,,,,,,,,,
,"91","10_22",,,,,,2.4,"equal-time","CO2","36.9881_N","122.0582_W",,"substrate","forest","forest","temperate","Hamdi2013","lab",,,"reference 24","SI","Gershenson et al. 2009","https://doi.org/10.1111/j.1365-2486.2008.01827.x",,,,,"Gersh-RW",,,,,,,,,,,,,,
,"91","10_22",,,,,,2.11,"equal-time","CO2","36.9881_N","122.0582_W",,"None","forest","forest","temperate","Hamdi2013","lab",,,"reference 24","SI","Gershenson et al. 2009","https://doi.org/10.1111/j.1365-2486.2008.01827.x",,,,,"Gersh-RW",,,,,,,,,,,,,,
,"91","22_30",,,,,,1.67,"equal-time","CO2","36.9881_N","122.0582_W",,"substrate","forest","forest","temperate","Hamdi2013","lab",,,"reference 24","SI","Gershenson et al. 2009","https://doi.org/10.1111/j.1365-2486.2008.01827.x",,,,,"Gersh-RW",,,,,,,,,,,,,,
,"91","22_30",,,,,,1.71,"equal-time","CO2","36.9881_N","122.0582_W",,"None","forest","forest","temperate","Hamdi2013","lab",,,"reference 24","SI","Gershenson et al. 2009","https://doi.org/10.1111/j.1365-2486.2008.01827.x",,,,,"Gersh-RW",,,,,,,,,,,,,,
,"92","25_35",,,,,,2,"equal-C","CO2","50_52'42""N","4_39'24""E",,"None","cultivated","cultivated","temperate","Hamdi2013","lab",,,"reference 25","SI","Gillabel et al. 2010","https://doi.org/10.1111/j.1365-2486.2009.02132.x",,,,,"Gill",,,,,,,,,,,"0.54",,,
,"93","15_35",,,,,,2.2,"equal-time","CO2","29.5658_S","54.4585_W","Mata, Brazil","None","forest","forest","warm","Hamdi2013","lab",,,"reference 26","SI","Grisi et al. 1998","https://doi.org/10.1016/S0038-0717(98)00016-9",,,,,"I","NA","NA","NA",,,,,,,,"2.88","0.29","22","6.2"
,"94","15_35",,,,,,1.9,"equal-time","CO2","29.5658_S","54.4585_W","Mata, Brazil","None","cultivated","cultivated","warm","Hamdi2013","lab",,,"reference 26","SI","Grisi et al. 1998","https://doi.org/10.1016/S0038-0717(98)00016-9",,,,,"II","NA","NA","NA",,,,,,,,"2.95","0.18","82","5.1"
,"95","15_35",,,,,,1.9,"equal-time","CO2","29.5658_S","54.4585_W","Mata, Brazil","None","cultivated","cultivated","warm","Hamdi2013","lab",,,"reference 26","SI","Grisi et al. 1998","https://doi.org/10.1016/S0038-0717(98)00016-9",,,,,"III","NA","NA","NA",,,,,,,,"0.95","0.1","15","6.4"
,"96","15_35",,,,,,1.7,"equal-time","CO2","52.0134_N","0.4250_W","SIlsoe, England","None","cultivated","cultivated","temperate","Hamdi2013","lab",,,"reference 26","SI","Grisi et al. 1998","https://doi.org/10.1016/S0038-0717(98)00016-9",,,,,"IV","NA","NA","NA",,,,,,,,"4.09","0.34","68","8.2"
,"97","15_35",,,,,,2.1,"equal-time","CO2","52.0134_N","0.4250_W","SIlsoe, England","None","grassland","grassland","temperate","Hamdi2013","lab",,,"reference 26","SI","Grisi et al. 1998","https://doi.org/10.1016/S0038-0717(98)00016-9",,,,,"V","NA","NA","NA",,,,,,,,"2.86","0.27","21","6.9"
,"98","15_35",,,,,,1.4,"equal-time","CO2","52.0134_N","0.4250_W","SIlsoe, England","None","grassland","grassland","temperate","Hamdi2013","lab",,,"reference 26","SI","Grisi et al. 1998","https://doi.org/10.1016/S0038-0717(98)00016-9",,,,,"VI","NA","NA","NA",,,,,,,,"1.5","0.14","8","6.8"
,"99","25_35",,,,,,2.2,"equal-C","CO2","10.168_S","62.824_W",,"substrate","forest","forest","temperate","Hamdi2013","lab",,"meta-analysis","reference 27","SI","Haddix et al. 2011","https://doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-BR","25.6",,"2200",,,,,,,,"1.06",,"30",
,"99","15_25",,,,,,2.06,"equal-time","CO2","10.168_S","62.824_W",,"None","forest","forest","warm","Hamdi2013","lab",,"https://doi.org/10.1016/j.soilbio.2012.11.012","reference 27","SI","Haddix et al. 2011","https://doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-BR","25.6",,"2200",,,,,,,,"1.06",,"30",
,"99","25_35",,,,,,1.4,"equal-time","CO2","10.168_S","62.824_W",,"substrate","forest","forest","warm","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-BR","25.6",,"2200",,,,,,,,"1.06",,"30",
,"99","25_35",,,,,,1.65,"equal-C","CO2","10.168_S","62.824_W",,"None","forest","forest","warm","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-BR","25.6",,"2200",,,,,,,,"1.06",,"30",
,"99","15_25",,,,,,1.58,"equal-time","CO2","10.168_S","62.824_W",,"None","grassland","grassland","warm","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-BR","25.6",,"2200",,,,,,,,"1.41",,"25",
,"99","25_35",,,,,,4.2,"equal-time","CO2","10.168_S","62.824_W",,"substrate","grassland","grassland","warm","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-BR","25.6",,"2200",,,,,,,,"1.41",,"25",
,"99","25_35",,,,,,2.4,"equal-C","CO2","10.168_S","62.824_W",,"substrate","grassland","grassland","warm","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-BR","25.6",,"2200",,,,,,,,"1.41",,"25",
,"99","25_35",,,,,,2.03,"equal-C","CO2","10.168_S","62.824_W",,"None","grassland","grassland","warm","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-BR","25.6",,"2200",,,,,,,,"1.41",,"25",
,"104","15_25",,,,,,1.81,"equal-time","CO2","33.939_N","99.413_W",,"None","cultivated","cultivated","warm","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-TX",,,,,,,,,,,"1.02",,"44",
,"104","25_35",,,,,,3.1,"equal-time","CO2","33.939_N","99.413_W",,"substrate","cultivated","cultivated","warm","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-TX",,,,,,,,,,,"1.02",,"44",
,"104","25_35",,,,,,1.6,"equal-C","CO2","33.939_N","99.413_W",,"substrate","cultivated","cultivated","warm","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-TX",,,,,,,,,,,"1.02",,"44",
,"104","25_35",,,,,,1.49,"equal-C","CO2","33.939_N","99.413_W",,"None","cultivated","cultivated","warm","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-TX",,,,,,,,,,,"1.02",,"44",
,"104","15_25",,,,,,1.56,"equal-time","CO2","33.939_N","99.413_W",,"None","grassland","grassland","warm","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-TX",,,,,,,,,,,"1.12",,"31",
,"104","25_35",,,,,,3.4,"equal-time","CO2","33.939_N","99.413_W",,"substrate","grassland","grassland","warm","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-TX",,,,,,,,,,,"1.12",,"31",
,"104","25_35",,,,,,2,"equal-C","CO2","33.939_N","99.413_W",,"substrate","grassland","grassland","warm","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-TX",,,,,,,,,,,"1.12",,"31",
,"104","25_35",,,,,,1.63,"equal-C","CO2","33.939_N","99.413_W",,"None","grassland","grassland","warm","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-TX",,,,,,,,,,,"1.12",,"31",
,"100","15_25",,,,,,1.76,"equal-time","CO2","40.150_N","103.150_W",,"None","cultivated","cultivated","temperate","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://www.doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-CO",,,,,,,,,,,"0.69",,"28",
,"100","25_35",,,,,,4.6,"equal-time","CO2","40.150_N","103.150_W",,"substrate","cultivated","cultivated","temperate","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://www.doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-CO",,,,,,,,,,,"0.69",,"28",
,"100","25_35",,,,,,2.2,"equal-C","CO2","40.150_N","103.150_W",,"substrate","cultivated","cultivated","temperate","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://www.doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-CO",,,,,,,,,,,"0.69",,"28",
,"100","25_35",,,,,,1.84,"equal-C","CO2","40.150_N","103.150_W",,"None","cultivated","cultivated","temperate","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://www.doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-CO",,,,,,,,,,,"0.69",,"28",
,"100","15_25",,,,,,1.86,"equal-time","CO2","40.150_N","103.150_W",,"None","grassland","grassland","temperate","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://www.doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-CO",,,,,,,,,,,"1.16",,"23",
,"100","25_35",,,,,,2.8,"equal-time","CO2","40.150_N","103.150_W",,"substrate","grassland","grassland","temperate","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://www.doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-CO",,,,,,,,,,,"1.16",,"23",
,"100","25_35",,,,,,1.5,"equal-C","CO2","40.150_N","103.150_W",,"substrate","grassland","grassland","temperate","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://www.doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-CO",,,,,,,,,,,"1.16",,"23",
,"100","25_35",,,,,,1.68,"equal-C","CO2","40.150_N","103.150_W",,"None","grassland","grassland","temperate","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://www.doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-CO",,,,,,,,,,,"1.16",,"23",
,"102","15_25",,,,,,1.77,"equal-time","CO2","46.767_N","100.917_W",,"None","cultivated","cultivated","temperate","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://www.doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-ND",,,,,,,,,,,"2.8",,"33",
,"102","25_35",,,,,,1.3,"equal-time","CO2","46.767_N","100.917_W",,"substrate","cultivated","cultivated","temperate","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://www.doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-ND",,,,,,,,,,,"2.8",,"33",
,"102","25_35",,,,,,1.5,"equal-C","CO2","46.767_N","100.917_W",,"substrate","cultivated","cultivated","temperate","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://www.doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-ND",,,,,,,,,,,"2.8",,"33",
,"102","25_35",,,,,,1.23,"equal-C","CO2","46.767_N","100.917_W",,"None","cultivated","cultivated","temperate","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://www.doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-ND",,,,,,,,,,,"2.8",,"33",
,"102","15_25",,,,,,2.07,"equal-time","CO2","46.767_N","100.917_W",,"None","grassland","grassland","temperate","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://www.doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-ND",,,,,,,,,,,"3.24",,"28",
,"102","25_35",,,,,,2.7,"equal-time","CO2","46.767_N","100.917_W",,"substrate","grassland","grassland","temperate","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://www.doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-ND",,,,,,,,,,,"3.24",,"28",
,"102","25_35",,,,,,1.7,"equal-C","CO2","46.767_N","100.917_W",,"substrate","grassland","grassland","temperate","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://www.doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-ND",,,,,,,,,,,"3.24",,"28",
,"102","25_35",,,,,,1.85,"equal-C","CO2","46.767_N","100.917_W",,"None","grassland","grassland","temperate","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://www.doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-ND",,,,,,,,,,,"3.24",,"28",
,"103","15_25",,,,,,1.79,"equal-time","CO2","50.533_N","103.517_W",,"None","cultivated","cultivated","temperate","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://www.doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-SK",,,,,,,,,,,"2.29",,"61",
,"103","25_35",,,,,,3.3,"equal-time","CO2","50.533_N","103.517_W",,"substrate","cultivated","cultivated","temperate","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://www.doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-SK",,,,,,,,,,,"2.29",,"61",
,"103","25_35",,,,,,2,"equal-C","CO2","50.533_N","103.517_W",,"substrate","cultivated","cultivated","temperate","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://www.doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-SK",,,,,,,,,,,"2.29",,"61",
,"103","25_35",,,,,,1.69,"equal-C","CO2","50.533_N","103.517_W",,"None","cultivated","cultivated","temperate","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://www.doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-SK",,,,,,,,,,,"2.29",,"61",
,"103","15_25",,,,,,1.6,"equal-time","CO2","50.533_N","103.517_W",,"None","grassland","grassland","temperate","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://www.doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-SK",,,,,,,,,,,"3.71",,"50",
,"103","25_35",,,,,,2.5,"equal-time","CO2","50.533_N","103.517_W",,"substrate","grassland","grassland","temperate","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://www.doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-SK",,,,,,,,,,,"3.71",,"50",
,"103","25_35",,,,,,1.6,"equal-C","CO2","50.533_N","103.517_W",,"substrate","grassland","grassland","temperate","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://www.doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-SK",,,,,,,,,,,"3.71",,"50",
,"103","25_35",,,,,,1.38,"equal-C","CO2","50.533_N","103.517_W",,"None","grassland","grassland","temperate","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://www.doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-SK",,,,,,,,,,,"3.71",,"50",
,"101","15_25",,,,,,2.06,"equal-time","CO2",,,,"None","forest","forest","warm","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://www.doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-CR",,,,,,,,,,,"20.02",,"9",
,"101","25_35",,,,,,4.1,"equal-time","CO2",,,,"substrate","forest","forest","warm","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://www.doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-CR",,,,,,,,,,,"20.02",,"9",
,"101","25_35",,,,,,1.9,"equal-C","CO2",,,,"substrate","forest","forest","warm","Hamdi2013","lab",,,"reference 27","SI","Haddix et al. 2011","https://www.doi.org/10.2136/sssaj2010.0118",,,,,"Haddix-CR",,,,,,,,,,,"20.02",,"9",
